Browser,Creator,Cost (USD),Software license,Current layout engine,Latest release version
Mozilla Firefox,Mozilla Foundation,Free,MPL 2.0,Gecko (before v57).Gecko w/Servo (v57 & after),"Standard80.0 / August 25, 2020; 3 days ago (2020-08-25)[45]Extended Support Release 178.2.0 / August 25, 2020; 3 days ago (2020-08-25)[46]Extended Support Release 268.12.0 / August 25, 2020; 3 days ago (2020-08-25)[47]",Standard,"80.0 / August 25, 2020; 3 days ago (2020-08-25)[45]",Extended Support Release 1,"78.2.0 / August 25, 2020; 3 days ago (2020-08-25)[46]",Extended Support Release 2,"68.12.0 / August 25, 2020; 3 days ago (2020-08-25)[47]"
Standard,"80.0 / August 25, 2020; 3 days ago (2020-08-25)[45]"
Extended Support Release 1,"78.2.0 / August 25, 2020; 3 days ago (2020-08-25)[46]"
Extended Support Release 2,"68.12.0 / August 25, 2020; 3 days ago (2020-08-25)[47]"
Netscape (v.6–7)[22] (discontinued),"Netscape Communications Corporation, AOL",Free,"Proprietary (browser),MPL 1.1/GPL 2.0/LGPL 2.1 (Gecko)",Gecko,7.2 (discontinued in 2004)
Netscape Browser (v.8)[note 3] (discontinued),Mercurial Communications for AOL,Free,"Proprietary (browser & Trident),MPL 1.1/GPL 2.0/LGPL 2.1 (Gecko)","Gecko, Trident","8.1.3 (April 2, 2007; 13 years ago (2007-04-02)) [±]"
Netscape Communicator (v.4)[note 3] (discontinued),Netscape Communications,Free,Proprietary,"custom, fork of Mosaic","4.8 (August 22, 2002; 18 years ago (2002-08-22)) [±]"
Netscape Navigator (v.1–4)[note 3] (discontinued),Netscape Communications,Free,Proprietary,"custom, fork of Mosaic",4.0.8 (discontinued in 1998)
Netscape Navigator 9[note 3] (discontinued),Netscape Communications(division of AOL),Free,"Proprietary (browser),MPL 1.1/GPL 2.0/LGPL 2.1 (Gecko)",Gecko,"9.0.0.6 (February 20, 2008; 12 years ago (2008-02-20)) [±]"
NetSurf,The NetSurf Developers,Free,GPL,custom,"3.10[48] (May 24, 2020; 3 months ago (2020-05-24)) [±]"
OmniWeb (discontinued),The Omni Group,Free,"Proprietary (browser), LGPL (WebKit)",WebKit,"5.11.2 (July 23, 2012; 8 years ago (2012-07-23)) [±]"
Opera,Opera Software,Free,Proprietary,Blink,70.0.3728.133 (25 August 2020; 3 days ago (2020-08-25)[49])
Opera Mobile,Opera Software,Free,Proprietary,Blink,"Android59.1.2926.54067 / July 13, 2020; 46 days ago (2020-07-13)[50]Android (classic)12.1.9 / June 8, 2016; 4 years ago (2016-06-08)[51]Symbian S6012.0.22 / June 24, 2012; 8 years ago (2012-06-24)[52]Windows Mobile10.0 / March 16, 2010; 10 years ago (2010-03-16)[53]",Android,"59.1.2926.54067 / July 13, 2020; 46 days ago (2020-07-13)[50]",Android (classic),"12.1.9 / June 8, 2016; 4 years ago (2016-06-08)[51]",Symbian S60,"12.0.22 / June 24, 2012; 8 years ago (2012-06-24)[52]",Windows Mobile,"10.0 / March 16, 2010; 10 years ago (2010-03-16)[53]"
Android,"59.1.2926.54067 / July 13, 2020; 46 days ago (2020-07-13)[50]"
Android (classic),"12.1.9 / June 8, 2016; 4 years ago (2016-06-08)[51]"
Symbian S60,"12.0.22 / June 24, 2012; 8 years ago (2012-06-24)[52]"
Windows Mobile,"10.0 / March 16, 2010; 10 years ago (2010-03-16)[53]"
Origyn Web Browser (discontinued),Sand-labs,Free,BSD,WebKit,1.25 (AROS only)[54]1.23r4 (AmigaOS 4 only)[55]1.24 (15 April 2014; 6 years ago (2014-04-15)[56]) [±]
Pale Moon,Moonchild Productions,Free,MPL 2.0,Goanna,28.12.0 (4 August 2020; 24 days ago (2020-08-04)[57]) [±]
Polarity,Stanley Lim,Free,"Proprietary (browser & Trident), BSD (Cef)","Blink, Trident","10.0.1 (April 26, 2020; 4 months ago (2020-04-26)[58]) [±]"
rekonq (discontinued),Andrea Diamantini,Free,GPL 3.0,WebKit,2.4.2[59][60] (12 January 2014; 6 years ago (2014-01-12)) [±]
Roccat Browser,Runecats,Free,"Proprietary (browser), LGPL (WebKit)",WebKit,"8.5 (March 15, 2019; 17 months ago (2019-03-15)[61]) [±]"
Safari,Apple Inc.,Included with macOS and iOS,"Proprietary (browser), LGPL (WebKit)",WebKit,"macOS13.1.2 / July 15, 2020; 44 days ago (2020-07-15)[62]iOS13.1 / November 7, 2019; 9 months ago (2019-11-07)[63]",macOS,"13.1.2 / July 15, 2020; 44 days ago (2020-07-15)[62]",iOS,"13.1 / November 7, 2019; 9 months ago (2019-11-07)[63]"
macOS,"13.1.2 / July 15, 2020; 44 days ago (2020-07-15)[62]"
iOS,"13.1 / November 7, 2019; 9 months ago (2019-11-07)[63]"
SalamWeb,Salam WebTechnologies DMCC,Free,Proprietary (browser),Blink,"Windows
4.5 (July 31, 2020; 28 days ago (2020-07-31)[64])

iOS
4.5 (June 20, 2020; 2 months ago (2020-06-20)[65])

Android
4.5.0.40 (June 25, 2020; 2 months ago (2020-06-25)[66])

macOS
4.5 (June 20, 2020; 2 months ago (2020-06-20)[65]) [±]"
SeaMonkey,SeaMonkey Council,Free,MPL 2.0,Gecko,"2.53.3 (July 7, 2020; 52 days ago (2020-07-07)[67]) [±]"
Shiira (discontinued),Happy Macintosh Developing Team,Free,BSD,WebKit,"2.3 (August 11, 2009; 11 years ago (2009-08-11)) [±]"
Sleipnir,Fenrir Inc.,Free,Proprietary,"Blink, Trident","Windows (Sleipnir 6)
6.4.6.4000 (May 28, 2020; 3 months ago (2020-05-28)[68])

Windows (Sleipnir 4)
